source,target,weight
ahvahskij,tsezskij,0.0
ahvahskij,tsudaharskij darginskij,0.0
ahvahskij,chiragskij darginskij,0.0
bagvalinskij,avarskij,0.8181818181818182
bagvalinskij,agul'skij,0.0
bagvalinskij,azerbajdzhanskij,0.0
bagvalinskij,akushinskij darginskij,0.0
bagvalinskij,andijskij,0.0
bagvalinskij,ahvahskij,0.1339712918660287
bagvalinskij,bagvalinskij,0.0
bagvalinskij,bezhtinskij,0.0
bagvalinskij,gapshiminskij darginskij,0.0
bagvalinskij,gdymsko-fijskij lezginskij,0.0
bagvalinskij,ginuhskij,0.0
bagvalinskij,kadarskij darginskij,0.0
bagvalinskij,kajtagskij darginskij,0.0
bagvalinskij,karatinskij,0.0
bagvalinskij,kubachinskij darginskij,0.0
bagvalinskij,kumykskij,0.0
bagvalinskij,lakskij,0.0
bagvalinskij,lezginskij,0.0
bagvalinskij,megebskij,0.0
bagvalinskij,muirinskij darginskij,0.0
bagvalinskij,rutul'skij,0.0
bagvalinskij,sirhinskij darginskij,0.0
bagvalinskij,tabasaranskij,0.0
bagvalinskij,tukitinskij,0.0
bagvalinskij,hnovskij rutul'skij,0.0
bagvalinskij,tsahurskij,0.0
bagvalinskij,tsezskij,0.0
bagvalinskij,tsudaharskij darginskij,0.0
bagvalinskij,chiragskij darginskij,0.0
bezhtinskij,avarskij,0.9150943396226415
bezhtinskij,agul'skij,0.0
bezhtinskij,azerbajdzhanskij,0.0
bezhtinskij,akushinskij darginskij,0.0
bezhtinskij,andijskij,0.0
bezhtinskij,ahvahskij,0.0
bezhtinskij,bagvalinskij,0.0
bezhtinskij,bezhtinskij,0.0
bezhtinskij,gapshiminskij darginskij,0.0
bezhtinskij,gdymsko-fijskij lezginskij,0.0
bezhtinskij,ginuhskij,0.0
bezhtinskij,kadarskij darginskij,0.0
bezhtinskij,kajtagskij darginskij,0.0
bezhtinskij,karatinskij,0.0
bezhtinskij,kubachinskij darginskij,0.0
bezhtinskij,kumykskij,0.0
bezhtinskij,lakskij,0.0
bezhtinskij,lezginskij,0.0
bezhtinskij,megebskij,0.0
bezhtinskij,muirinskij darginskij,0.0
bezhtinskij,rutul'skij,0.0
bezhtinskij,sirhinskij darginskij,0.0
bezhtinskij,tabasaranskij,0.0
bezhtinskij,tukitinskij,0.0
bezhtinskij,hnovskij rutul'skij,0.0
bezhtinskij,tsahurskij,0.0
bezhtinskij,tsezskij,0.0
bezhtinskij,tsudaharskij darginskij,0.0
bezhtinskij,chiragskij darginskij,0.0
gapshiminskij darginskij,avarskij,0.05263157894736842
gapshiminskij darginskij,agul'skij,0.0
gapshiminskij darginskij,azerbajdzhanskij,0.0
gapshiminskij darginskij,akushinskij darginskij,0.0
gapshiminskij darginskij,andijskij,0.0
gapshiminskij darginskij,ahvahskij,0.0
gapshiminskij darginskij,bagvalinskij,0.0
gapshiminskij darginskij,bezhtinskij,0.0
gapshiminskij darginskij,gapshiminskij darginskij,0.0
gapshiminskij darginskij,gdymsko-fijskij lezginskij,0.0
gapshiminskij darginskij,ginuhskij,0.0
gapshiminskij darginskij,kadarskij darginskij,0.0
gapshiminskij darginskij,kajtagskij darginskij,0.0
gapshiminskij darginskij,karatinskij,0.0
gapshiminskij darginskij,kubachinskij darginskij,0.0
gapshiminskij darginskij,kumykskij,0.0
gapshiminskij darginskij,lakskij,0.9473684210526315
gapshiminskij darginskij,lezginskij,0.0
gapshiminskij darginskij,megebskij,0.0
gapshiminskij darginskij,muirinskij darginskij,0.0
gapshiminskij darginskij,rutul'skij,0.0
gapshiminskij darginskij,sirhinskij darginskij,0.0
gapshiminskij darginskij,tabasaranskij,0.0
gapshiminskij darginskij,tukitinskij,0.0
gapshiminskij darginskij,hnovskij rutul'skij,0.0
gapshiminskij darginskij,tsahurskij,0.0
gapshiminskij darginskij,tsezskij,0.0
gapshiminskij darginskij,tsudaharskij darginskij,0.0
gapshiminskij darginskij,chiragskij darginskij,0.0
gdymsko-fijskij lezginskij,avarskij,0.0
gdymsko-fijskij lezginskij,agul'skij,0.0
gdymsko-fijskij lezginskij,azerbajdzhanskij,0.8648648648648649
gdymsko-fijskij lezginskij,akushinskij darginskij,0.0
gdymsko-fijskij lezginskij,andijskij,0.0
gdymsko-fijskij lezginskij,ahvahskij,0.0
gdymsko-fijskij lezginskij,bagvalinskij,0.0
gdymsko-fijskij lezginskij,bezhtinskij,0.0
gdymsko-fijskij lezginskij,gapshiminskij darginskij,0.0
gdymsko-fijskij lezginskij,gdymsko-fijskij lezginskij,0.0
gdymsko-fijskij lezginskij,ginuhskij,0.0
gdymsko-fijskij lezginskij,kadarskij darginskij,0.0
gdymsko-fijskij lezginskij,kajtagskij darginskij,0.0
gdymsko-fijskij lezginskij,karatinskij,0.0
gdymsko-fijskij lezginskij,kubachinskij darginskij,0.0
gdymsko-fijskij lezginskij,kumykskij,0.0
gdymsko-fijskij lezginskij,lakskij,0.0
gdymsko-fijskij lezginskij,lezginskij,0.0
gdymsko-fijskij lezginskij,megebskij,0.0
gdymsko-fijskij lezginskij,muirinskij darginskij,0.0
gdymsko-fijskij lezginskij,rutul'skij,0.0
gdymsko-fijskij lezginskij,sirhinskij darginskij,0.0
gdymsko-fijskij lezginskij,tabasaranskij,0.0
gdymsko-fijskij lezginskij,tukitinskij,0.0
gdymsko-fijskij lezginskij,hnovskij rutul'skij,0.13513513513513514
gdymsko-fijskij lezginskij,tsahurskij,0.0
gdymsko-fijskij lezginskij,tsezskij,0.0
gdymsko-fijskij lezginskij,tsudaharskij darginskij,0.0
gdymsko-fijskij lezginskij,chiragskij darginskij,0.0
ginuhskij,avarskij,0.36790123456790125
ginuhskij,agul'skij,0.0
ginuhskij,azerbajdzhanskij,0.0
ginuhskij,akushinskij darginskij,0.0
ginuhskij,andijskij,0.0
ginuhskij,ahvahskij,0.0
ginuhskij,bagvalinskij,0.0
ginuhskij,bezhtinskij,0.2641975308641975
ginuhskij,gapshiminskij darginskij,0.0
ginuhskij,gdymsko-fijskij lezginskij,0.0
ginuhskij,ginuhskij,0.0
ginuhskij,kadarskij darginskij,0.0
ginuhskij,kajtagskij darginskij,0.0
ginuhskij,karatinskij,0.0
ginuhskij,kubachinskij darginskij,0.0
ginuhskij,kumykskij,0.0
ginuhskij,lakskij,0.0
ginuhskij,lezginskij,0.0
ginuhskij,megebskij,0.0
ginuhskij,muirinskij darginskij,0.0
ginuhskij,rutul'skij,0.0
ginuhskij,sirhinskij darginskij,0.0
ginuhskij,tabasaranskij,0.0
ginuhskij,tukitinskij,0.0
ginuhskij,hnovskij rutul'skij,0.0
ginuhskij,tsahurskij,0.0
ginuhskij,tsezskij,0.36790123456790125
ginuhskij,tsudaharskij darginskij,0.0
ginuhskij,chiragskij darginskij,0.0
kadarskij darginskij,avarskij,0.14893617021276595
kadarskij darginskij,agul'skij,0.0
kadarskij darginskij,azerbajdzhanskij,0.0
kadarskij darginskij,akushinskij darginskij,0.0
kadarskij darginskij,andijskij,0.0
kadarskij darginskij,ahvahskij,0.0
kadarskij darginskij,bagvalinskij,0.0
kadarskij darginskij,bezhtinskij,0.0
kadarskij darginskij,gapshiminskij darginskij,0.0
kadarskij darginskij,gdymsko-fijskij lezginskij,0.0
